gid	n_mu	mid	sids	n_mu_p	fam	fam_size	fam_idx	fam_idx_size	tf	gid_W22	map_type	ttype	impact	eff
Zm00001d013049	1	mu1048652	UFMu-06527	1	NA	NA	NA	NA	FALSE	Zm00004b011046	One-to-One	mRNA	high	start_lost
Zm00001d013052	2	mu1060197|mu1084965	UFMu-07902|UFMu-10402	2	NA	NA	NA	NA	FALSE	Zm00004b011047	One-to-One	mRNA	high	frameshift_variant
Zm00001d013055	2	mu1007763|mu1084966	UFMu-00153|UFMu-10411	2	NA	NA	NA	NA	FALSE	Zm00004b011050	One-to-One	mRNA	moderate	missense_variant
Zm00001d013056	2	mu1077804|mu1095038	UFMu-09213,UFMu-10720|UFMu-11204	2	NA	NA	NA	NA	FALSE	Zm00004b011051	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d013058	3	mu1083751|mu1083752|mu1095039	UFMu-10386|UFMu-10186|UFMu-13368	>=3	NA	NA	NA	NA	FALSE	Zm00004b011053	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d013059	3	mu1079771|mu1082508|mu1091942	UFMu-09252|UFMu-09420|UFMu-11175	>=3	NA	NA	NA	NA	FALSE	Zm00004b011054	One-to-One	mRNA	moderate	missense_variant
Zm00001d013061	10	mu1015319|mu1034811|mu1039050|mu1060201|mu1079773|mu1083754|mu1083755|mu1086672|mu1091949|mu1095040	UFMu-02445|UFMu-03227|UFMu-02693|UFMu-08042|UFMu-09251|UFMu-10539|UFMu-10198|UFMu-11121|UFMu-11873|UFMu-12022	>=3	NA	NA	NA	NA	FALSE	Zm00004b011058,Zm00004b011060	Many-to-One	mRNA	moderate	missense_variant
Zm00001d013065	5	mu1001846|mu1029040|mu1050465|mu1057011|mu1086676	UFMu-00197,UFMu-06858|UFMu-02626|UFMu-05983|UFMu-07291|UFMu-11081	>=3	NA	NA	NA	NA	FALSE	Zm00004b011063	One-to-One	mRNA	high	splice_donor_variant
Zm00001d013066	2	mu1031453|mu1053531	UFMu-02949,UFMu-04176|UFMu-06757	2	NA	NA	NA	NA	FALSE	Zm00004b011064	One-to-One	mRNA	moderate	missense_variant
Zm00001d013067	1	mu1007467	UFMu-00196	1	NA	NA	NA	NA	FALSE	Zm00004b011065	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d013070	1	mu1060203	UFMu-08218,UFMu-10850	1	MYB	163	36	36/163	TRUE	Zm00004b011070	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d013074	3	mu1015324|mu1050226|mu1095044	UFMu-01729,UFMu-04042,UFMu-06960|UFMu-05984|UFMu-11796	>=3	bZIP	128	23	23/128	TRUE	Zm00004b011075	One-to-One	mRNA	no_change	NA
Zm00001d013075	3	mu1021420|mu1036047|mu1070382	UFMu-01369,UFMu-02847|UFMu-03506|UFMu-02847	>=3	NA	NA	NA	NA	FALSE	Zm00004b011076	One-to-One	mRNA	modifier	intron_variant
Zm00001d013076	2	mu1015325|mu1060205	UFMu-01999|UFMu-08182	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	intron_variant
Zm00001d013077	4	mu1018489|mu1060206|mu1067734|mu1077809	UFMu-00968|UFMu-07761|UFMu-08815|UFMu-09139	>=3	NA	NA	NA	NA	FALSE	Zm00004b011077	One-to-One	mRNA	modifier	intron_variant
Zm00001d013079	6	mu1015326|mu1033802|mu1037320|mu1067736|mu1084968|mu1091957	UFMu-01540,UFMu-04548,UFMu-07693,UFMu-10529|UFMu-03243|UFMu-02985|UFMu-08586|UFMu-10383|UFMu-12261	>=3	NA	NA	NA	NA	FALSE	Zm00004b011079	One-to-One	mRNA	moderate	missense_variant
Zm00001d013081	1	mu1010339	UFMu-01961	1	NA	NA	NA	NA	FALSE	Zm00004b011081	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d013082	5	mu1015327|mu1033853|mu1045432|mu1045433|mu1086680	UFMu-02366|UFMu-03161|UFMu-05711|UFMu-05416|UFMu-10752	>=3	NA	NA	NA	NA	FALSE	Zm00004b011082	One-to-One	mRNA	moderate	missense_variant
Zm00001d013083	4	mu1039058|mu1039058|mu1042839|mu1077812	UFMu-04116|UFMu-10004|UFMu-04835|UFMu-09308	>=3	NA	NA	NA	NA	FALSE	Zm00004b011083	One-to-One	mRNA	low	splice_region_variant
Zm00001d013087	3	mu1023540|mu1023644|mu1042837	UFMu-02125|UFMu-02125,UFMu-08319|UFMu-04894,UFMu-07277	>=3	NA	NA	NA	NA	FALSE	Zm00004b011087	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d013093	1	mu1015329	UFMu-01678,UFMu-02616	1	NA	NA	NA	NA	FALSE	Zm00004b011097	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d013094	5	mu1023269|mu1033878|mu1033878|mu1042835|mu1050928	UFMu-02337|UFMu-03432,UFMu-04620,UFMu-05132,UFMu-05672|UFMu-10637|UFMu-04902|UFMu-06215	>=3	NA	NA	NA	NA	FALSE	Zm00004b011098	One-to-One	mRNA	no_change	NA
Zm00001d013097	3	mu1022671|mu1057021|mu1091964	UFMu-01998|UFMu-07380|UFMu-11766	>=3	NA	NA	NA	NA	FALSE	Zm00004b011100	One-to-One	mRNA	low	synonymous_variant
Zm00001d013100	4	mu1072319|mu1077821|mu1083760|mu1091965	UFMu-01936,UFMu-11277|UFMu-09031|UFMu-10004|UFMu-12963	>=3	NA	NA	NA	NA	FALSE	Zm00004b011103	One-to-One	mRNA	moderate	missense_variant
Zm00001d013108	4	mu1007152|mu1039065|mu1067739|mu1083761	UFMu-00469,UFMu-06782,UFMu-07329|UFMu-02739|UFMu-08589|UFMu-10403	>=3	NA	NA	NA	NA	FALSE	Zm00004b011108	One-to-One	mRNA	high	frameshift_variant
Zm00001d013109	1	mu1091967	UFMu-14014	1	NA	NA	NA	NA	FALSE	Zm00004b011109	One-to-One	mRNA	moderate	missense_variant
Zm00001d013111	2	mu1011269|mu1015334	UFMu-00906,UFMu-02637,UFMu-04426,UFMu-06490|UFMu-01723	2	NA	NA	NA	NA	FALSE	Zm00004b011111	One-to-One	mRNA	moderate	missense_variant
Zm00001d013113	1	mu1033105	UFMu-02650	1	NA	NA	NA	NA	FALSE	Zm00004b011114	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d013114	1	mu1083763	UFMu-10322	1	NA	NA	NA	NA	FALSE	Zm00004b011115	One-to-One	mRNA	non-syntenic	NA
Zm00001d013115	2	mu1083764|mu1095051	UFMu-10322|UFMu-11274	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	stop_lost
Zm00001d013116	3	mu1035123|mu1039066|mu1095052	UFMu-03501|UFMu-04169|UFMu-12236	>=3	NA	NA	NA	NA	FALSE	Zm00004b011117	One-to-One	mRNA	moderate	missense_variant
Zm00001d013117	1	mu1017769	UFMu-00649	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	frameshift_variant
Zm00001d013119	2	mu1039067|mu1053544	UFMu-03258|UFMu-06801	2	TCP	42	11	11/42	TRUE	Zm00004b011119	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d013120	2	mu1030324|mu1081478	UFMu-02866|UFMu-09853	2	NA	NA	NA	NA	FALSE	Zm00004b011120	One-to-One	mRNA	modifier	intron_variant
Zm00001d013125	2	mu1034907|mu1053545	UFMu-03413,UFMu-11119|UFMu-06690	2	NA	NA	NA	NA	FALSE	Zm00004b011124	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d013135	2	mu1015342|mu1071241	UFMu-04217,UFMu-04970|UFMu-03029	2	NA	NA	NA	NA	FALSE	Zm00004b011133	One-to-One	mRNA	high	frameshift_variant
Zm00001d013136	1	mu1091981	UFMu-11973	1	NA	NA	NA	NA	FALSE	Zm00004b011134	One-to-One	mRNA	moderate	missense_variant
Zm00001d013139	3	mu1009196|mu1067753|mu1086693	UFMu-00466|UFMu-08784,UFMu-08916|UFMu-10992	>=3	NA	NA	NA	NA	FALSE	Zm00004b011138	One-to-One	mRNA	low	synonymous_variant
Zm00001d013141	4	mu1048673|mu1048674|mu1050463|mu1053548	UFMu-06382,UFMu-06688,UFMu-12991|UFMu-10391|UFMu-06519|UFMu-06689	>=3	NA	NA	NA	NA	FALSE	Zm00004b011140	One-to-One	mRNA	low	synonymous_variant
Zm00001d013144	1	mu1091985	UFMu-12333	1	NA	NA	NA	NA	FALSE	Zm00004b011143	One-to-One	mRNA	moderate	missense_variant
Zm00001d013147	1	mu1033042	UFMu-03295,UFMu-04476	1	NA	NA	NA	NA	FALSE	Zm00004b011145	One-to-One	mRNA	moderate	missense_variant
Zm00001d013150	1	mu1095057	UFMu-11702	1	NA	NA	NA	NA	FALSE	Zm00004b011148	One-to-One	mRNA	no_change	NA
Zm00001d013153	1	mu1060228	UFMu-07833	1	NA	NA	NA	NA	FALSE	Zm00004b011150	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d013154	1	mu1009025	UFMu-00225	1	NA	NA	NA	NA	FALSE	Zm00004b011151	One-to-One	mRNA	non-syntenic	exon_loss_variant
Zm00001d013156	3	mu1015346|mu1015347|mu1084973	UFMu-02338|UFMu-02338|UFMu-10378	>=3	NA	NA	NA	NA	FALSE	Zm00004b011152	One-to-One	mRNA	low	synonymous_variant
Zm00001d013159	1	mu1015348	UFMu-02302,UFMu-13929	1	NA	NA	NA	NA	FALSE	Zm00004b011153	One-to-One	mRNA	low	synonymous_variant
Zm00001d013166	2	mu1053556|mu1077837	UFMu-06546|UFMu-09297,UFMu-09469	2	NA	NA	NA	NA	FALSE	Zm00004b011159	One-to-One	mRNA	high	exon_loss_variant
Zm00001d013168	5	mu1035902|mu1053559|mu1077839|mu1091993|mu1091995	UFMu-03292|UFMu-06963|UFMu-09190|UFMu-13106|UFMu-12372	>=3	NA	NA	NA	NA	FALSE	Zm00004b011160	One-to-One	mRNA	moderate	missense_variant
Zm00001d013170	1	mu1071912	UFMu-02257	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	frameshift_variant
Zm00001d013173	1	mu1048687	UFMu-05985	1	NA	NA	NA	NA	FALSE	Zm00004b011162	One-to-One	mRNA	moderate	missense_variant
Zm00001d013176	7	mu1033045|mu1060238|mu1060238|mu1060239|mu1070385|mu1077843|mu1086697	UFMu-02816|UFMu-07841|UFMu-12197|UFMu-07841|UFMu-02816|UFMu-08916|UFMu-11038	>=3	NA	NA	NA	NA	FALSE	Zm00004b011164	One-to-One	mRNA	no_change	NA
Zm00001d013181	1	mu1045453	UFMu-05885	1	NA	NA	NA	NA	FALSE	Zm00004b011169	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d013182	6	mu1019418|mu1048701|mu1048701|mu1060245|mu1060246|mu1067765	UFMu-00649|UFMu-05985|UFMu-09492|UFMu-07769|UFMu-08040|UFMu-08733	>=3	NA	NA	NA	NA	FALSE	Zm00004b011170	One-to-One	mRNA	moderate	missense_variant
Zm00001d013183	1	mu1060246	UFMu-08040	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	conservative_inframe_deletion
Zm00001d013185	1	mu1057048	UFMu-07183	1	NA	NA	NA	NA	FALSE	Zm00004b011172	One-to-One	mRNA	moderate	missense_variant
Zm00001d013195	2	mu1011375|mu1011375	UFMu-01123,UFMu-01782,UFMu-02611,UFMu-03538,UFMu-05720|UFMu-10884	2	NA	NA	NA	NA	FALSE	Zm00004b011184	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d013196	4	mu1015361|mu1015361|mu1082515|mu1083782	UFMu-01896|UFMu-06408|UFMu-09463|UFMu-10376	>=3	NA	NA	NA	NA	FALSE	Zm00004b011185	One-to-One	mRNA	no_change	NA
Zm00001d013200	1	mu1092020	UFMu-11569	1	Dof	45	9	9/45	TRUE	Zm00004b011189	One-to-One	mRNA	moderate	missense_variant
Zm00001d013201	3	mu1039090|mu1039090|mu1092021	UFMu-03223,UFMu-09548|UFMu-13646|UFMu-11151	>=3	NA	NA	NA	NA	FALSE	Zm00004b011190	One-to-One	mRNA	modifier	intron_variant
Zm00001d013202	3	mu1060252|mu1060253|mu1060254	UFMu-08147|UFMu-08147|UFMu-08147	>=3	G2-like	61	10	10/61	TRUE	Zm00004b011191	One-to-One	mRNA	moderate	conservative_inframe_deletion
Zm00001d013204	6	mu1005341|mu1015367|mu1053576|mu1057057|mu1057058|mu1086706	UFMu-00385|UFMu-01269|UFMu-06715|UFMu-07243|UFMu-07245,UFMu-11159|UFMu-11119	>=3	NA	NA	NA	NA	FALSE	Zm00004b011192	One-to-One	mRNA	modifier	intron_variant
Zm00001d013206	2	mu1048708|mu1095070	UFMu-05963|UFMu-11978	2	NA	NA	NA	NA	FALSE	Zm00004b011194	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d013209	1	mu1071249	UFMu-02672	1	NA	NA	NA	NA	FALSE	Zm00004b011197	One-to-One	mRNA	high	stop_gained
Zm00001d013211	4	mu1038542|mu1053581|mu1053582|mu1095072	UFMu-03781|UFMu-06551|UFMu-06744|UFMu-11424	>=3	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d013218	2	mu1060262|mu1067779	UFMu-07918|UFMu-08712	2	NA	NA	NA	NA	FALSE	Zm00004b011204	One-to-One	mRNA	no_change	NA
Zm00001d013219	2	mu1015376|mu1034165	UFMu-01272|UFMu-03150	2	NA	NA	NA	NA	FALSE	Zm00004b011205	One-to-One	mRNA	low	splice_region_variant
Zm00001d013225	4	mu1025663|mu1039098|mu1081492|mu1084982	UFMu-03034,UFMu-06581,UFMu-07614|UFMu-03685|UFMu-09479|UFMu-10376	>=3	NA	NA	NA	NA	FALSE	Zm00004b011211,Zm00004b011212	Many-to-Many	mRNA	modifier	3_prime_UTR_variant
Zm00001d013230	1	mu1092039	UFMu-13442	1	NA	NA	NA	NA	FALSE	Zm00004b011215,Zm00004b011218	Many-to-Many	mRNA	moderate	missense_variant
Zm00001d013238	4	mu1039102|mu1048726|mu1071916|mu1092041	UFMu-04025|UFMu-06501|UFMu-02304,UFMu-13958|UFMu-12186	>=3	NA	NA	NA	NA	FALSE	Zm00004b011221	One-to-Many	mRNA	moderate	missense_variant
Zm00001d013240	1	mu1015382	UFMu-01346	1	NA	NA	NA	NA	FALSE	Zm00004b011223	One-to-One	mRNA	moderate	missense_variant
Zm00001d013242	1	mu1053597	UFMu-06935	1	NA	NA	NA	NA	FALSE	Zm00004b011225	One-to-One	mRNA	high	splice_donor_variant
Zm00001d013243	1	mu1070390	UFMu-02709	1	NA	NA	NA	NA	FALSE	Zm00004b011226	One-to-One	mRNA	moderate	missense_variant
Zm00001d013245	1	mu1072834	UFMu-03291	1	NA	NA	NA	NA	FALSE	Zm00004b011229	One-to-One	mRNA	moderate	missense_variant
Zm00001d013247	2	mu1069615|mu1084986	UFMu-08775|UFMu-10409	2	NA	NA	NA	NA	FALSE	Zm00004b011230	One-to-One	mRNA	moderate	missense_variant
Zm00001d013248	1	mu1081496	UFMu-09548	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	transcript_ablation
Zm00001d013249	1	mu1071254	UFMu-03031,UFMu-10871	1	NA	NA	NA	NA	FALSE	Zm00004b011231	One-to-One	mRNA	moderate	missense_variant
Zm00001d013250	2	mu1042806|mu1045467	UFMu-04924|UFMu-05595	2	NA	NA	NA	NA	FALSE	Zm00004b011232	One-to-One	mRNA	non-syntenic	splice_donor_variant
Zm00001d013251	1	mu1015391	UFMu-02091,UFMu-04491	1	NA	NA	NA	NA	FALSE	Zm00004b011233	One-to-One	mRNA	moderate	missense_variant
Zm00001d013253	3	mu1008027|mu1027055|mu1042804	UFMu-00528,UFMu-13204|UFMu-06409|UFMu-05008,UFMu-11274	>=3	NA	NA	NA	NA	FALSE	Zm00004b011235	One-to-One	mRNA	high	frameshift_variant
Zm00001d013254	3	mu1011501|mu1023840|mu1092062	UFMu-00612,UFMu-01255,UFMu-04907|UFMu-05984|UFMu-13103	>=3	NA	NA	NA	NA	FALSE	Zm00004b011236	One-to-One	mRNA	moderate	missense_variant
Zm00001d013256	6	mu1045469|mu1057078|mu1057079|mu1081499|mu1083799|mu1092063	UFMu-05552|UFMu-07532|UFMu-07629|UFMu-09457|UFMu-10455|UFMu-11977	>=3	NA	NA	NA	NA	FALSE	Zm00004b011237	One-to-One	mRNA	moderate	missense_variant
Zm00001d013257	4	mu1023984|mu1060278|mu1067794|mu1086715	UFMu-08892|UFMu-08088|UFMu-08261|UFMu-10974	>=3	NA	NA	NA	NA	FALSE	Zm00004b011238	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d013258	4	mu1053600|mu1053601|mu1053602|mu1057081	UFMu-06573,UFMu-06717,UFMu-07320|UFMu-06717|UFMu-06717|UFMu-07426	>=3	MIKC_MADS	42	9	9/42	TRUE	Zm00004b011239	One-to-One	mRNA	low	5_prime_UTR_premature_start_codon_gain_variant
Zm00001d013259	4	mu1015398|mu1017023|mu1067795|mu1092066	UFMu-02228|UFMu-01240|UFMu-08341,UFMu-09475,UFMu-11248|UFMu-11283	>=3	MIKC_MADS	42	10	10/42	TRUE	Zm00004b011242	One-to-One	mRNA	non-syntenic	stop_gained
Zm00001d013262	4	mu1053608|mu1053609|mu1081504|mu1095077	UFMu-07021|UFMu-06715|UFMu-09421|UFMu-11261	>=3	NA	NA	NA	NA	FALSE	Zm00004b011244	One-to-One	mRNA	moderate	missense_variant
Zm00001d013263	2	mu1012255|mu1083802	UFMu-02055|UFMu-10378	2	NA	NA	NA	NA	FALSE	Zm00004b011245	One-to-One	mRNA	moderate	missense_variant
Zm00001d013264	2	mu1081505|mu1086720	UFMu-09919|UFMu-10756	2	NA	NA	NA	NA	FALSE	Zm00004b011246	One-to-One	mRNA	non-syntenic	splice_acceptor_variant
Zm00001d013265	2	mu1019032|mu1092073	UFMu-01129|UFMu-13661	2	MYB_related	109	27	27/109	TRUE	Zm00004b011247	One-to-One	mRNA	moderate	missense_variant
Zm00001d013267	6	mu1041434|mu1045479|mu1057095|mu1067801|mu1079799|mu1082519	UFMu-04266|UFMu-05720|UFMu-07428|UFMu-08549|UFMu-08991|UFMu-09536,UFMu-11332	>=3	NA	NA	NA	NA	FALSE	Zm00004b011250	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d013268	2	mu1072841|mu1081506	UFMu-03520|UFMu-09483	2	NA	NA	NA	NA	FALSE	Zm00004b011251	One-to-One	mRNA	moderate	missense_variant
Zm00001d013270	1	mu1077877	UFMu-09049	1	NA	NA	NA	NA	FALSE	Zm00004b011253	One-to-One	mRNA	moderate	missense_variant
Zm00001d013271	2	mu1053612|mu1067802	UFMu-06919|UFMu-08640	2	NA	NA	NA	NA	FALSE	Zm00004b011254	One-to-One	mRNA	moderate	missense_variant
Zm00001d013272	2	mu1019683|mu1077878	UFMu-01177|UFMu-08953	2	NA	NA	NA	NA	FALSE	Zm00004b011255	One-to-One	mRNA	high	splice_donor_variant
Zm00001d013273	3	mu1039121|mu1083805|mu1084988	UFMu-02564|UFMu-10396|UFMu-09992	>=3	NA	NA	NA	NA	FALSE	Zm00004b011256	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d013278	3	mu1029828|mu1074008|mu1087960	UFMu-03598,UFMu-04817,UFMu-08167|UFMu-04319|UFMu-11109	>=3	NA	NA	NA	NA	FALSE	Zm00004b011261	One-to-One	mRNA	moderate	missense_variant
Zm00001d013283	2	mu1060289|mu1092460	UFMu-07894|UFMu-11204	2	NA	NA	NA	NA	FALSE	Zm00004b011265	One-to-One	mRNA	moderate	missense_variant
Zm00001d013289	2	mu1067810|mu1095082	UFMu-08665|UFMu-11351	2	NA	NA	NA	NA	FALSE	Zm00004b011268	One-to-One	mRNA	moderate	missense_variant
Zm00001d013290	3	mu1074839|mu1080280|mu1092092	UFMu-03917|UFMu-03917|UFMu-13111	>=3	NA	NA	NA	NA	FALSE	Zm00004b011269	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d013295	5	mu1061956|mu1071259|mu1083811|mu1086733|mu1086734	UFMu-08804,UFMu-09034,UFMu-09478,UFMu-11257|UFMu-02529|UFMu-10394|UFMu-10787,UFMu-11308|UFMu-11009	>=3	NA	NA	NA	NA	FALSE	Zm00004b011271	One-to-One	mRNA	moderate	missense_variant
Zm00001d013301	1	mu1057114	UFMu-07362	1	NA	NA	NA	NA	FALSE	Zm00004b011275,Zm00004b011276	Many-to-Many,Many-to-One	mRNA	high	splice_donor_variant
Zm00001d013302	1	mu1057114	UFMu-07362	1	NA	NA	NA	NA	FALSE	Zm00004b011275	One-to-Many	mRNA	high	splice_donor_variant
Zm00001d013304	3	mu1057117|mu1086738|mu1087457	UFMu-07567|UFMu-10860|UFMu-11117	>=3	NA	NA	NA	NA	FALSE	Zm00004b011278	One-to-One	mRNA	high	frameshift_variant
Zm00001d013306	1	mu1092105	UFMu-11613	1	NA	NA	NA	NA	FALSE	Zm00004b011279	One-to-One	mRNA	moderate	conservative_inframe_deletion
Zm00001d013307	1	mu1083815	UFMu-10393	1	WRKY	121	37	37/121	TRUE	Zm00004b011280	One-to-One	mRNA	moderate	missense_variant
Zm00001d013314	1	mu1042789	UFMu-05001	1	NA	NA	NA	NA	FALSE	Zm00004b011287	One-to-One	mRNA	moderate	missense_variant
Zm00001d013317	2	mu1057122|mu1095088	UFMu-07237|UFMu-12009	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	moderate	missense_variant
Zm00001d013319	6	mu1023513|mu1048764|mu1060311|mu1074013|mu1081524|mu1092124	UFMu-01976|UFMu-06282|UFMu-08087|UFMu-04764|UFMu-09424|UFMu-11983	>=3	NA	NA	NA	NA	FALSE	Zm00004b011295	One-to-Many	mRNA	non-syntenic	NA
Zm00001d013325	1	mu1053646	UFMu-06545	1	NA	NA	NA	NA	FALSE	Zm00004b011291	One-to-One	mRNA	non-syntenic	NA
Zm00001d013330	2	mu1022916|mu1086746	UFMu-02411|UFMu-10570	2	NA	NA	NA	NA	FALSE	Zm00004b011298	One-to-One	mRNA	moderate	missense_variant
Zm00001d013331	1	mu1067827	UFMu-08343,UFMu-10601	1	GATA	36	10	10/36	TRUE	Zm00004b011299	One-to-One	mRNA	moderate	missense_variant
Zm00001d013334	2	mu1074950|mu1092130	UFMu-05893|UFMu-11696	2	NA	NA	NA	NA	FALSE	Zm00004b011302	One-to-One	mRNA	moderate	missense_variant
Zm00001d013335	2	mu1017163|mu1067828	UFMu-00913|UFMu-08298	2	NA	NA	NA	NA	FALSE	Zm00004b011304	One-to-One	mRNA	high	frameshift_variant
Zm00001d013336	1	mu1092132	UFMu-11354	1	NA	NA	NA	NA	FALSE	Zm00004b011305	One-to-One	mRNA	high	frameshift_variant
Zm00001d013342	4	mu1015433|mu1030266|mu1039152|mu1045487	UFMu-01912|UFMu-02691|UFMu-03424|UFMu-05734	>=3	NA	NA	NA	NA	FALSE	Zm00004b011309	One-to-One	mRNA	no_change	NA
Zm00001d013343	1	mu1057136	UFMu-07589	1	NA	NA	NA	NA	FALSE	Zm00004b011310	One-to-One	mRNA	no_change	NA
Zm00001d013344	1	mu1039153	UFMu-04220	1	NA	NA	NA	NA	FALSE	Zm00004b011311	One-to-One	mRNA	moderate	missense_variant
Zm00001d013346	1	mu1069630	UFMu-08808	1	GRF	15	5	5/15	TRUE	Zm00004b011312	One-to-One	mRNA	non-syntenic	frameshift_variant
Zm00001d013348	3	mu1029437|mu1083821|mu1083822	UFMu-02846,UFMu-08145|UFMu-10141|UFMu-10141	>=3	NA	NA	NA	NA	FALSE	Zm00004b011313	One-to-One	mRNA	non-syntenic	stop_gained
Zm00001d013357	1	mu1045492	UFMu-05698	1	bHLH	190	45	45/190	TRUE	Zm00004b011316	One-to-One	mRNA	no_change	NA
Zm00001d013358	2	mu1065246|mu1067842	UFMu-00649,UFMu-02729|UFMu-08586	2	NA	NA	NA	NA	FALSE	Zm00004b011317	One-to-One	mRNA	modifier	intron_variant
Zm00001d013359	3	mu1041451|mu1045494|mu1057143	UFMu-04484|UFMu-05508|UFMu-07234	>=3	NA	NA	NA	NA	FALSE	Zm00004b011318	One-to-One	mRNA	no_change	NA
Zm00001d013360	5	mu1008869|mu1042775|mu1045495|mu1074843|mu1074843	UFMu-00444|UFMu-05106|UFMu-05764|UFMu-03818|UFMu-12064,UFMu-12550	>=3	NA	NA	NA	NA	FALSE	Zm00004b011319	One-to-One	mRNA	moderate	missense_variant
Zm00001d013362	1	mu1033455	UFMu-03496	1	NA	NA	NA	NA	FALSE	Zm00004b011321	One-to-One	mRNA	moderate	missense_variant
Zm00001d013367	1	mu1092151	UFMu-13414,UFMu-13775	1	NA	NA	NA	NA	FALSE	Zm00004b011324	One-to-One	mRNA	low	synonymous_variant
Zm00001d013375	1	mu1029960	UFMu-02921	1	NA	NA	NA	NA	FALSE	Zm00004b011327	One-to-Many	mRNA	low	synonymous_variant
Zm00001d013376	4	mu1028486|mu1048785|mu1067847|mu1075572	UFMu-01004|UFMu-06193|UFMu-08471|UFMu-05859	>=3	NA	NA	NA	NA	FALSE	Zm00004b011327	One-to-Many	mRNA	moderate	missense_variant
Zm00001d013380	2	mu1042772|mu1092156	UFMu-04954|UFMu-14009	2	NA	NA	NA	NA	FALSE	Zm00004b011330	One-to-One	mRNA	moderate	missense_variant
Zm00001d013383	10	mu1015451|mu1015451|mu1023456|mu1057151|mu1065244|mu1071929|mu1080244|mu1082529|mu1083827|mu1092157	UFMu-00795,UFMu-01903,UFMu-03428|UFMu-06467,UFMu-07205,UFMu-12038,UFMu-13148,UFMu-13483|UFMu-02313|UFMu-07565|UFMu-00664|UFMu-01903,UFMu-12043,UFMu-13148,UFMu-13483|UFMu-00664|UFMu-09565|UFMu-10182|UFMu-11275	>=3	NA	NA	NA	NA	FALSE	Zm00004b011333	One-to-One	mRNA	moderate	missense_variant
Zm00001d013385	5	mu1015453|mu1053676|mu1067848|mu1074844|mu1085004	UFMu-01946|UFMu-06545|UFMu-08536|UFMu-04148|UFMu-10404	>=3	GRAS	81	16	16/81	TRUE	Zm00004b011336	One-to-One	mRNA	moderate	missense_variant
Zm00001d013387	2	mu1041455|mu1095102	UFMu-04660|UFMu-12042	2	NA	NA	NA	NA	FALSE	Zm00004b011340	One-to-One	mRNA	moderate	conservative_inframe_deletion
Zm00001d013389	3	mu1033044|mu1082530|mu1095103	UFMu-02748|UFMu-09878|UFMu-13442	>=3	NA	NA	NA	NA	FALSE	Zm00004b011342	One-to-One	mRNA	low	synonymous_variant
Zm00001d013391	1	mu1087970	UFMu-11109	1	NA	NA	NA	NA	FALSE	Zm00004b011344	One-to-One	mRNA	moderate	missense_variant
Zm00001d013392	2	mu1039166|mu1050907	UFMu-02655|UFMu-06118	2	NA	NA	NA	NA	FALSE	Zm00004b011345	One-to-One	mRNA	no_change	NA
Zm00001d013393	3	mu1034930|mu1069640|mu1095104	UFMu-03396|UFMu-08298|UFMu-11321	>=3	NA	NA	NA	NA	FALSE	Zm00004b011346	One-to-One	mRNA	modifier	intron_variant
Zm00001d013397	3	mu1017808|mu1030110|mu1069641	UFMu-00795,UFMu-06467|UFMu-02826|UFMu-08580	>=3	NA	NA	NA	NA	FALSE	Zm00004b011349	One-to-One	mRNA	non-syntenic	intron_variant
Zm00001d013398	6	mu1015456|mu1015457|mu1035932|mu1048324|mu1056714|mu1079656	UFMu-00680|UFMu-01408|UFMu-03176|UFMu-06510,UFMu-06669|UFMu-07177|UFMu-09111	>=3	NA	NA	NA	NA	FALSE	Zm00004b011350	One-to-One	mRNA	moderate	missense_variant
Zm00001d013402	1	mu1077531	UFMu-10681	1	NA	NA	NA	NA	FALSE	Zm00004b011353	One-to-One	mRNA	non-syntenic	NA
